model,roc_auc,avg_precision
HGB tuned calibrated,0.8447957839262187,0.6531559105610166
LogisticRegression balanced,0.8447389495982845,0.6514422576752608
HGB tuned,0.8437210984525564,0.6613502943655483
HGB baseline,0.8228861505076339,0.6180190174921573
